,STATION,Station Latitude,Station Longitude,SEGMENT,SECTOR,BOROUGH,AVGWKDRIDER,AVGWKND,ANN_RID
61,Pennsylvania Av,40.664635,-73.894895,New Lots,Other Brooklyn,Brooklyn,2818,2788,868432
62,Fresh Pond Rd,40.706186,-73.895877,Myrtle Av,Queens,Queens,4047,3107,1195169
63,Longwood Av,40.816104,-73.896435,Pelham,Bronx,Bronx,2258,2067,686670
64,Liberty Av,40.674542,-73.896548,Fulton St,Other Brooklyn,Brooklyn,1661,1379,497050
65,Intervale Av,40.822181,-73.896736,White Plains Rd,Bronx,Bronx,1915,1710,580512
66,Kingsbridge Rd,40.86776,-73.897174,Jerome Av,Bronx,Bronx,6045,7759,1958074
67,Kingsbridge Rd,40.86776,-73.897174,Concourse,Bronx,Bronx,4060,1939,1140981
68,Fordham Rd,40.861296,-73.897749,Jerome Av,Bronx,Bronx,6716,10372,2269772
69,Fordham Rd,40.861296,-73.897749,Concourse,Bronx,Bronx,6533,3245,1842281
70,Alabama Av,40.676992,-73.898654,Jamaica,Other Brooklyn,Brooklyn,1205,1081,365995
71,New Lots Av,40.658733,-73.899232,New Lots,Other Brooklyn,Brooklyn,3495,3251,1066391
72,New Lots Av,40.658733,-73.899232,Canarsie,Other Brooklyn,Brooklyn,2307,2020,697822
73,Livonia Av,40.664038,-73.900571,Canarsie,Other Brooklyn,Brooklyn,1919,1855,590252
74,Fordham Rd,40.862803,-73.901034,Jerome Av,Bronx,Bronx,6716,10372,2269772
75,Fordham Rd,40.862803,-73.901034,Concourse,Bronx,Bronx,6533,3245,1842281
76,Prospect Av,40.819585,-73.90177,White Plains Rd,Bronx,Bronx,4136,3607,1248614
77,Prospect Av,40.819585,-73.90177,4 Av,Other Brooklyn,Brooklyn,4237,4133,1299538
78,Sutter Av,40.669367,-73.901975,Canarsie,Other Brooklyn,Brooklyn,1585,1377,479262
79,Junius St,40.663515,-73.902447,New Lots,Other Brooklyn,Brooklyn,1567,1632,487780
80,Forest Av,40.704423,-73.903077,Myrtle Av,Queens,Queens,3108,2505,923548
81,Atlantic Av,40.675345,-73.903097,Canarsie,Other Brooklyn,Brooklyn,1152,1063,351212
82,Wilson Av,40.688764,-73.904046,Canarsie,Other Brooklyn,Brooklyn,3010,3416,952643
83,Halsey St,40.695602,-73.904084,Jamaica,Other Brooklyn,Brooklyn,3847,5056,1253085
84,Halsey St,40.695602,-73.904084,Canarsie,Other Brooklyn,Brooklyn,5434,6048,1713746
85,Tremont Av,40.85041,-73.905227,Concourse,Bronx,Bronx,4238,2028,1192367
86,Northern Blvd,40.752885,-73.906006,Queens Blvd,Queens,Queens,4631,4097,1400392
87,Burnside Av,40.853453,-73.907684,Jerome Av,Bronx,Bronx,5773,7807,1891402
88,Seneca Av,40.702762,-73.90774,Myrtle Av,Queens,Queens,2023,1933,617361
89,Jackson Av,40.81649,-73.907807,White Plains Rd,Bronx,Bronx,3066,2545,919324
90,Rockaway Av,40.662549,-73.908946,New Lots,Other Brooklyn,Brooklyn,2751,2547,838719
91,Rockaway Av,40.662549,-73.908946,Fulton St,Other Brooklyn,Brooklyn,3433,3802,1079621
92,Chauncey St,40.682893,-73.910456,Jamaica,Other Brooklyn,Brooklyn,1895,2612,623164
93,Myrtle Av,40.699814,-73.911586,Jamaica,Other Brooklyn,Brooklyn,8209,10455,2654490
94,Rockaway Av,40.67834,-73.911946,New Lots,Other Brooklyn,Brooklyn,2751,2547,838719
95,Rockaway Av,40.67834,-73.911946,Fulton St,Other Brooklyn,Brooklyn,3433,3802,1079621
96,Cypress Av,40.805368,-73.914042,Pelham,Bronx,Bronx,1643,1533,501060
97,Mt Eden Av,40.844434,-73.914685,Jerome Av,Bronx,Bronx,3106,3700,990912
98,Saratoga Av,40.661453,-73.916327,New Lots,Other Brooklyn,Brooklyn,3122,2696,941203
99,Halsey St,40.68637,-73.916559,Jamaica,Other Brooklyn,Brooklyn,3847,5056,1253085
100,Halsey St,40.68637,-73.916559,Canarsie,Other Brooklyn,Brooklyn,5434,6048,1713746
101,DeKalb Av,40.703811,-73.918425,Canarsie,Other Brooklyn,Brooklyn,8574,10894,2772609
102,DeKalb Av,40.703811,-73.918425,Downtown Brooklyn Transfer,Brooklyn CBD,Brooklyn,13759,14315,4272247
103,Brook Av,40.807566,-73.91924,Pelham,Bronx,Bronx,3540,3739,1104521
104,Knickerbocker Av,40.698664,-73.919711,Myrtle Av,Other Brooklyn,Brooklyn,2814,2754,862039
105,Ralph Av,40.678822,-73.920786,Fulton St,Other Brooklyn,Brooklyn,3356,4052,1073687
106,Gates Av,40.68963,-73.92227,Jamaica,Other Brooklyn,Brooklyn,4512,5709,1458035
107,Sutter Av,40.664717,-73.92261,Canarsie,Other Brooklyn,Brooklyn,1585,1377,479262
108,Jefferson St,40.706607,-73.922913,Canarsie,Other Brooklyn,Brooklyn,5875,10715,2075924
109,Broadway,40.76182,-73.925508,Crosstown,Other Brooklyn,Brooklyn,3420,4446,1112371
110,Broadway,40.76182,-73.925508,Astoria,Queens,Queens,8653,10393,2763230
111,Dyckman St,40.860531,-73.925536,Upper Broadway,Upper Manhattan,Manhattan,4704,5782,1512897
112,Dyckman St,40.860531,-73.925536,Washington Heights,Upper Manhattan,Manhattan,4145,4685,1306098
113,Central Av,40.697857,-73.927397,Myrtle Av,Other Brooklyn,Brooklyn,2711,2496,821947
114,Utica Av,40.679364,-73.930729,Fulton St,Other Brooklyn,Brooklyn,9083,11023,2907120
115,Utica Av,40.668897,-73.932942,Fulton St,Other Brooklyn,Brooklyn,9083,11023,2907120
116,Morgan Av,40.706152,-73.933147,Canarsie,Other Brooklyn,Brooklyn,5220,8159,1769142
117,Myrtle Av,40.697207,-73.935657,Jamaica,Other Brooklyn,Brooklyn,8209,10455,2654490
118,Queens Plaza,40.748973,-73.937243,Queens Blvd,Queens,Queens,11616,12829,3645653
119,Montrose Av,40.707739,-73.93985,Canarsie,Other Brooklyn,Brooklyn,4979,7687,1683408
120,Queensboro Plaza,40.750582,-73.940202,Queens Transfer,Queens,Queens,10698,15649,3573523
121,Grand St,40.711926,-73.94067,6 Av,Valley,Manhattan,17686,24196,5821650
122,Grand St,40.711926,-73.94067,Canarsie,Other Brooklyn,Brooklyn,4744,5408,1499646
